date;value;
27/04/2017;1.0;
07/05/2017;1.0;
28/05/2017;1.0;
31/05/2017;1.0;
06/06/2017;1.0;
15/06/2017;1.0;
16/06/2017;1.0;
21/06/2017;1.0;
21/06/2017;1.0;
